age[Gyr], mean[N/Gyr/pc^3], stdev[N/Gyr/pc^3]
6.850000000000001921e-02,4.547551740091451689e-02,6.415496074917455618e-03
1.095000000000000417e-01,4.269488917669887751e-02,5.507999082723649513e-03
1.625000000000000611e-01,4.118699555721494487e-02,3.610802940023648527e-03
2.375000000000000999e-01,9.449886079312874720e-02,1.340761334324936174e-02
3.375000000000000777e-01,1.352651192577456751e-01,6.063009550476890913e-03
4.700000000000000844e-01,1.347381402229924918e-01,1.277184211904894978e-02
6.450000000000002398e-01,8.409755520332447276e-02,1.036451867477552330e-02
8.650000000000004352e-01,4.144965921671211334e-02,6.343521879930862951e-03
1.100000000000000755e+00,1.066830543850915414e-01,2.887117836230658832e-02
1.320000000000000728e+00,1.245466945067816300e-01,1.903529358170915481e-02
1.520000000000001128e+00,7.063001766922005764e-02,1.447143219868361752e-02
1.705000000000001181e+00,1.243820271180342413e-01,3.629309432044330180e-02
1.885000000000001341e+00,1.141585041771507048e-01,2.334534701355687331e-02
2.065000000000001279e+00,9.138050546500953164e-02,1.484650059596747881e-02
2.245000000000001883e+00,1.025772085982653431e-01,1.589537466432679874e-02
2.425000000000001599e+00,8.961231117204272734e-02,1.238458513659888849e-02
2.600000000000001865e+00,8.640042608357857701e-02,1.032893653661276327e-02
2.770000000000002238e+00,8.385475524082165732e-02,1.265889869607801817e-02
2.940000000000002611e+00,9.873621298425265536e-02,1.980393379823202141e-02
3.110000000000002540e+00,1.067365770123371999e-01,1.880076993472705460e-02
3.275000000000002576e+00,1.113609762673305609e-01,1.980087527439430145e-02
3.435000000000002718e+00,1.152875526243788695e-01,2.194838910857678863e-02
3.595000000000002860e+00,1.354717869783370887e-01,2.303223763305287455e-02
3.750000000000003109e+00,1.301712034042430965e-01,1.934037408100694119e-02
3.900000000000003020e+00,1.164453893861732842e-01,1.615527517568810315e-02
4.050000000000003375e+00,1.140957269595580803e-01,1.527267232886660338e-02
4.200000000000002842e+00,1.064191091126387573e-01,1.690214073395066366e-02
4.350000000000003197e+00,9.958770556442181343e-02,1.861768587744301595e-02
4.500000000000003553e+00,8.707082777784522221e-02,1.757384582645744181e-02
4.655000000000003801e+00,7.955324376065328607e-02,1.540703084037016446e-02
4.825000000000003730e+00,6.659458561485155637e-02,1.596576347909492780e-02
5.020000000000003126e+00,5.753269784898763090e-02,1.578834047073529243e-02
5.250000000000004441e+00,4.468862570850802574e-02,1.564036077998765678e-02
5.540000000000004476e+00,2.929242221488798092e-02,1.275059596088014280e-02
5.945000000000004725e+00,1.761518439155655702e-02,7.027421730016401337e-03
6.560000000000004938e+00,1.654958369124187589e-02,3.278597219980103859e-03
7.445000000000005613e+00,3.648472286782725865e-02,1.496339284446356922e-02
8.365000000000005542e+00,7.380686106269625235e-02,1.171771359120829872e-02
9.050000000000007816e+00,5.995922219000155567e-02,1.327952968140489430e-02
9.520000000000006679e+00,5.161328334124797718e-02,1.856654844657517830e-02
9.870000000000008100e+00,3.820046971450417883e-02,1.415514525601512842e-02
1.015500000000000824e+01,3.106687217039347249e-02,1.333266861527229903e-02
1.040000000000000924e+01,2.613276578759430799e-02,1.311051135568698511e-02
1.062000000000000810e+01,2.225000280358433238e-02,1.360175793865031624e-02
1.082000000000000917e+01,1.867260617001123210e-02,1.362450802032254445e-02
1.101000000000000867e+01,1.471405370880488235e-02,1.282156495198019663e-02
1.120000000000000995e+01,1.119248356677112963e-02,1.151008811309258209e-02
1.139500000000001023e+01,7.583393085646742207e-03,8.871509759023078409e-03
1.161000000000001009e+01,5.637608710630115198e-03,8.308308941945624290e-03
1.186000000000001009e+01,3.571839019150186041e-03,6.668191462742670966e-03
1.214500000000001023e+01,2.028599132875867281e-03,4.692235237489798989e-03
1.245000000000000995e+01,1.187486346157938435e-03,2.933802023335723222e-03
1.275500000000000966e+01,9.460712020000602764e-04,1.587497978651215835e-03
1.305000000000001137e+01,1.075084970955519133e-03,1.023266775210360854e-03
1.333000000000001251e+01,1.473873103783969159e-03,9.245611378194269455e-04
1.359000000000001052e+01,1.890466257399443491e-03,8.302411423047714907e-04
1.382500000000001172e+01,2.822610875783498809e-03,1.006252118324379389e-03
1.396500000000001052e+01,1.374904466974135979e-02,1.128506758227408634e-03
